OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;54 år;Gift/separeret;2020K1;50227
Hele landet;I alt;55 år;Ugift;2020K1;16170
Hele landet;I alt;55 år;Gift/separeret;2020K1;49022
Hele landet;I alt;56 år;Ugift;2020K1;15431
Hele landet;I alt;56 år;Gift/separeret;2020K1;48175
Hele landet;I alt;57 år;Ugift;2020K1;13820
Hele landet;I alt;57 år;Gift/separeret;2020K1;45683
Hele landet;I alt;58 år;Ugift;2020K1;13024
Hele landet;I alt;58 år;Gift/separeret;2020K1;44732
Hele landet;I alt;59 år;Ugift;2020K1;12441
Hele landet;I alt;59 år;Gift/separeret;2020K1;44628
Hele landet;I alt;60 år;Ugift;2020K1;11437
Hele landet;I alt;60 år;Gift/separeret;2020K1;43270
Hele landet;I alt;61 år;Ugift;2020K1;11026
Hele landet;I alt;61 år;Gift/separeret;2020K1;43537
Hele landet;I alt;62 år;Ugift;2020K1;10442
Hele landet;I alt;62 år;Gift/separeret;2020K1;43164
Hele landet;I alt;63 år;Ugift;2020K1;9790
Hele landet;I alt;63 år;Gift/separeret;2020K1;43623
Hele landet;I alt;64 år;Ugift;2020K1;9143
Hele landet;I alt;64 år;Gift/separeret;2020K1;42642
Hele landet;I alt;65 år;Ugift;2020K1;8271
Hele landet;I alt;65 år;Gift/separeret;2020K1;41649
Hele landet;I alt;66 år;Ugift;2020K1;7794
Hele landet;I alt;66 år;Gift/separeret;2020K1;42260
Hele landet;I alt;67 år;Ugift;2020K1;7008
Hele landet;I alt;67 år;Gift/separeret;2020K1;41108
Hele landet;I alt;68 år;Ugift;2020K1;6264
Hele landet;I alt;68 år;Gift/separeret;2020K1;40152
Hele landet;I alt;69 år;Ugift;2020K1;5745
Hele landet;I alt;69 år;Gift/separeret;2020K1;40767
Hele landet;I alt;70 år;Ugift;2020K1;5024
Hele landet;I alt;70 år;Gift/separeret;2020K1;40217
Hele landet;I alt;71 år;Ugift;2020K1;4703
Hele landet;I alt;71 år;Gift/separeret;2020K1;41737
Hele landet;I alt;72 år;Ugift;2020K1;4456
Hele landet;I alt;72 år;Gift/separeret;2020K1;43342
Hele landet;I alt;73 år;Ugift;2020K1;4106
Hele landet;I alt;73 år;Gift/separeret;2020K1;43481
Hele landet;I alt;74 år;Ugift;2020K1;3491
Hele landet;I alt;74 år;Gift/separeret;2020K1;40477
Hele landet;I alt;75 år;Ugift;2020K1;3078
Hele landet;I alt;75 år;Gift/separeret;2020K1;36323
